State/UT,X,Y
Andhra Pradesh,-109.0,-190.0
Arunachal Pradesh,321.0,212.0
Assam,286.0,150.0
Bihar,88.0,129.0
Chhattisgarh,-17.0,-3.0
Goa,-251.0,-186.0
Gujarat,-309,41
Haryana,-173.0,215.0
Himachal Pradesh,-156.0,313.0
Jharkhand,51.0,58.0
Karnataka,-192.0,-212.0
Kerala,-179.0,-325.0
Madhya Pradesh,-174.0,39.0
Maharashtra,-252.0,-80.0
Manipur,296.0,97.0
Meghalaya,207.0,122.0
Mizoram,277.0,38.0
Nagaland,321.0,153.0
Odisha,11.0,-54.0
Punjab,-218.0,274.0
Rajasthan,-315.0,155.0
Sikkim,150.0,178.0
Tamil Nadu,-150.0,-307.0
Telangana,-132.0,-117.0
Tripura,239.0,69.0
Uttar Pradesh,-87.0,161.0
Uttarakhand,-127.0,273.0
West Bengal,113.0,51.0
Andaman Nicobar Islands,298.0,-255.0
Chandigarh,-171.0,288.0
Dadra Nagar Haveli Daman Diu,-263.0,-29.0
Delhi,-139.0,253.0
Jammu Kashmir,-233.0,361.0
Ladakh,-158.0,379.0
Lakshadweep,-295.0,-311.0
Puducherry,-11.0,-142.0
